DEFINE
BS_ANTENNA|Support_Number|Cartoradio_Number|Lat|Lng|Height|Info_Addr|Info_Municipality|Ant_Number|Dest_Lat|Dest_Lng|Azimuth|AzimuthMin|AzimuthMax|MinFreq|MaxFreq
DELIMITER|Cartoradio_Number|Support_Lat|Support_Lng|Del_Lat|Del_Lng
CONTENT
BS_ANTENNA|132400|321272|48.09972222222222|-1.6658333333333335|16.0|45, R DE RIAVAL|RENNES|239602|48.10015523492411|-1.6655833333333334|30.0|-30.0|90.0|763.0|773.0
BS_ANTENNA|132400|321272|48.09972222222222|-1.6658333333333335|17.0|45, R DE RIAVAL|RENNES|6549764|48.09928920952033|-1.6655833333333334|150.0|90.0|210.0|3710.0|3800.0
BS_ANTENNA|132400|321272|48.09972222222222|-1.6658333333333335|16.0|45, R DE RIAVAL|RENNES|239604|48.09928920952033|-1.6655833333333334|150.0|90.0|210.0|708.0|718.0
BS_ANTENNA|132400|321272|48.09972222222222|-1.6658333333333335|16.0|45, R DE RIAVAL|RENNES|239604|48.09928920952033|-1.6655833333333334|150.0|90.0|210.0|763.0|773.0
BS_ANTENNA|132400|321272|48.09972222222222|-1.6658333333333335|17.0|45, R DE RIAVAL|RENNES|6549766|48.09972222222222|-1.6663333333333334|270.0|210.0|330.0|3710.0|3800.0
BS_ANTENNA|132400|321272|48.09972222222222|-1.6658333333333335|16.0|45, R DE RIAVAL|RENNES|239606|48.09972222222222|-1.6663333333333334|270.0|210.0|330.0|708.0|718.0
BS_ANTENNA|132400|321272|48.09972222222222|-1.6658333333333335|16.0|45, R DE RIAVAL|RENNES|239606|48.09972222222222|-1.6663333333333334|270.0|210.0|330.0|763.0|773.0
DELIMITER|321272|48.09972222222222|-1.6658333333333335|48.35952984335755|-1.8158333333333334
DELIMITER|321272|48.09972222222222|-1.6658333333333335|48.09972222222222|-1.3658333333333335
DELIMITER|321272|48.09972222222222|-1.6658333333333335|47.83991460108689|-1.8158333333333334
BS_ANTENNA|223039|337829|48.089444444444446|-1.673888888888889|20.5|121 BD  ALBERT 1ER|RENNES|6549753|48.089877457146336|-1.673638888888889|30.0|-30.0|90.0|3710.0|3800.0
BS_ANTENNA|223039|337829|48.089444444444446|-1.673888888888889|19.8|121 BD  ALBERT 1ER|RENNES|360446|48.089877457146336|-1.673638888888889|30.0|-30.0|90.0|708.0|718.0
BS_ANTENNA|223039|337829|48.089444444444446|-1.673888888888889|19.8|121 BD  ALBERT 1ER|RENNES|360446|48.089877457146336|-1.673638888888889|30.0|-30.0|90.0|763.0|773.0
BS_ANTENNA|223039|337829|48.089444444444446|-1.673888888888889|20.5|121 BD  ALBERT 1ER|RENNES|6549755|48.089011431742556|-1.673638888888889|150.0|90.0|210.0|3710.0|3800.0
BS_ANTENNA|223039|337829|48.089444444444446|-1.673888888888889|19.8|121 BD  ALBERT 1ER|RENNES|360448|48.089011431742556|-1.673638888888889|150.0|90.0|210.0|708.0|718.0
BS_ANTENNA|223039|337829|48.089444444444446|-1.673888888888889|19.8|121 BD  ALBERT 1ER|RENNES|360448|48.089011431742556|-1.673638888888889|150.0|90.0|210.0|763.0|773.0
BS_ANTENNA|223039|337829|48.089444444444446|-1.673888888888889|20.5|121 BD  ALBERT 1ER|RENNES|6549757|48.089444444444446|-1.674388888888889|270.0|210.0|330.0|3710.0|3800.0
BS_ANTENNA|223039|337829|48.089444444444446|-1.673888888888889|19.8|121 BD  ALBERT 1ER|RENNES|360450|48.089444444444446|-1.674388888888889|270.0|210.0|330.0|708.0|718.0
BS_ANTENNA|223039|337829|48.089444444444446|-1.673888888888889|19.8|121 BD  ALBERT 1ER|RENNES|360450|48.089444444444446|-1.674388888888889|270.0|210.0|330.0|763.0|773.0
DELIMITER|337829|48.089444444444446|-1.673888888888889|48.349252065579776|-1.823888888888889
DELIMITER|337829|48.089444444444446|-1.673888888888889|48.089444444444446|-1.373888888888889
DELIMITER|337829|48.089444444444446|-1.673888888888889|47.829636823309116|-1.823888888888889
BS_ANTENNA|344241|432710|48.64972222222222|-1.9872222222222224|19.7|13, BD DE L' ESPÉRANCE|SAINT MALO|6972925|48.650155234924114|-1.9869722222222224|30.0|-30.0|90.0|3710.0|3800.0
BS_ANTENNA|344241|432710|48.64972222222222|-1.9872222222222224|21.3|13, BD DE L' ESPÉRANCE|SAINT MALO|770933|48.650155234924114|-1.9869722222222224|30.0|-30.0|90.0|708.0|718.0
BS_ANTENNA|344241|432710|48.64972222222222|-1.9872222222222224|21.3|13, BD DE L' ESPÉRANCE|SAINT MALO|770933|48.650155234924114|-1.9869722222222224|30.0|-30.0|90.0|763.0|773.0
BS_ANTENNA|344241|432710|48.64972222222222|-1.9872222222222224|19.7|13, BD DE L' ESPÉRANCE|SAINT MALO|6972927|48.64928920952033|-1.9869722222222224|150.0|90.0|210.0|3710.0|3800.0
BS_ANTENNA|344241|432710|48.64972222222222|-1.9872222222222224|21.3|13, BD DE L' ESPÉRANCE|SAINT MALO|770935|48.64928920952033|-1.9869722222222224|150.0|90.0|210.0|708.0|718.0
BS_ANTENNA|344241|432710|48.64972222222222|-1.9872222222222224|21.3|13, BD DE L' ESPÉRANCE|SAINT MALO|770935|48.64928920952033|-1.9869722222222224|150.0|90.0|210.0|763.0|773.0
