Numéro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriétaire
2029852;-1.6769444444444446;48.105555555555554;"48°6'20.000""N 1°40'37.000""W";35238;METRO CHARLES DE GAULLE;2 COURS DES ALLIES;35000;RENNES;Intérieur sous-terrain;0.0;"Commune, communauté de commune"
2029858;-1.6722222222222223;48.1025;"48°6'9.000""N 1°40'20.000""W";35238;METRO PUITS QUINELEU;17 RUE DE CHATILLON;35000;RENNES;Intérieur sous-terrain;0.0;"Commune, communauté de commune"
2029864;-1.6755555555555555;48.09777777777778;"48°5'52.000""N 1°40'32.000""W";35238;METRO JACQUES CARTIER;36 RUE MARIE-ROUAULT 102 RUE DE L ALMA;35000;RENNES;Intérieur sous-terrain;0.0;"Commune, communauté de commune"
2029870;-1.6744444444444446;48.09361111111111;"48°5'37.000""N 1°40'28.000""W";35238;METRO CLEMENCEAU;1 RUE GENEVIÉVE DE GAULLE;35000;RENNES;Intérieur sous-terrain;0.0;"Commune, communauté de commune"
2029876;-1.6747222222222222;48.08777777777778;"48°5'16.000""N 1°40'29.000""W";35238;METRO HENRI FREVILLE;103 AVENUE HENRI FREVILLE;35000;RENNES;Intérieur sous-terrain;0.0;"Commune, communauté de commune"
2029882;-1.6677777777777778;48.086666666666666;"48°5'12.000""N 1°40'4.000""W";35238;METRO ITALIE;"6 AVENUE D'ITALIE";35000;RENNES;Intérieur sous-terrain;0.0;"Commune, communauté de commune"
2029888;-1.6605555555555556;48.08638888888889;"48°5'11.000""N 1°39'38.000""W";35238;METRO TRIANGLE;AVENUE DES PAYS BAS ZUP SUD QUARTIER LE BLOSNE;35000;RENNES;Intérieur sous-terrain;0.0;"Commune, communauté de commune"
2029894;-1.6541666666666668;48.08777777777778;"48°5'16.000""N 1°39'15.000""W";35238;METRO LE BLOSNE;2 RUE DE ROUMANIE;35000;RENNES;Intérieur sous-terrain;0.0;"Commune, communauté de commune"
2029900;-1.6722222222222223;48.10388888888889;"48°6'14.000""N 1°40'20.000""W";35238;METRO GARES;18 PLACE DE LA GARE;35000;RENNES;Intérieur sous-terrain;0.0;"Commune, communauté de commune"
2058606;-1.6219444444444444;48.136944444444445;"48°8'13.000""N 1°37'19.000""W";35051;"";7 R CLAUDE CHAPPE;35510;CESSON SEVIGNE;Bâtiment;20.0;Société Privée SA
